,Type,Name,Location,Capacity,Inspections,Phone
2582,PRE-SCHOOL (FACILITY-BASED PROGRAM),ST. BASIL'S SADOCHOK,"10819 71 AVENUE  EDMONTON, AB  T6E 0X8  ",15,view,  780-989-3854
2583,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. BENEDICT BEFORE AND AFTER SCHOOL CARE,"75 ALTON DRIVE  ST. BENEDICT SCHOOL  LEDUC, AB  T9E 7K1  ",60,view,  780-986-7480
2584,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. BERNADETTE OSC II,"11917 40 STREET  EDMONTON, AB  T5W 2L1  ",26,view,  780-990-6940
2585,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. BERNADETTE OUT OF SCHOOL CARE,"15120 104 AVE  HOLY CROSS ELEM. SCHOOL  EDMONTON, AB  T5P 0R5  ",26,view,  780-990-6940
2586,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. CLEMENT DAYCARE AND OUT OF SCHOOL CARE,"7620 MILLWOODS ROAD SOUTH  ST. CLEMENT SCHOOL  EDMONTON, AB  T6K 2P7  ",29,view,  587-463-2692
2587,DAY CARE (FACILITY-BASED PROGRAM),ST. CLEMENT DAYCARE AND OUT OF SCHOOL CARE,"7620 MILLWOODS ROAD SOUTH  ST. CLEMENT SCHOOL  EDMONTON, AB  T6K 2P7  ",29,view,  587-463-2692
2588,DAY CARE (FACILITY-BASED PROGRAM),ST. DOMINIC OUT OF SCHOOL CARE,"5804 144 AVENUE  ST. DOMINIC CATHOLIC SCHOOL  EDMONTON, AB  T5A 1K5  ",22,view,  780-475-5604
2589,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. DOMINIC OUT OF SCHOOL CARE,"5804 144 AVENUE  ST. DOMINIC CATHOLIC SCHOOL  EDMONTON, AB  T5A 1K5  ",22,view,  780-475-5604
2590,PRE-SCHOOL (FACILITY-BASED PROGRAM),ST. DOMINIC PRESCHOOL,"920-7 STREET  COLD LAKE, AB  T9M 1M5  ",23,view,  780-639-3520
2591,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. ELIZABETH SETON SCHOOL AGE PROGRAM,"35 ADDINELL AVE  RED DEER, AB  T4R 1V5  ",28,view,  403-877-2052
2592,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. FRANCIS CHILDCARE LTD. (DAY CARE),"6614 129 AVENUE  ST. FRANCIS OF ASSISSI SCHOOL  EDMONTON, AB  T5C 1V7  ",71,view,  780-406-4748
2593,DAY CARE (FACILITY-BASED PROGRAM),ST. FRANCIS CHILDCARE LTD. (DAY CARE),"6614 129 AVENUE  ST. FRANCIS OF ASSISSI SCHOOL  EDMONTON, AB  T5C 1V7  ",71,view,  780-406-4748
2594,DAY CARE (FACILITY-BASED PROGRAM),ST. FRANCIS DAYCARE VIKING,"5119 50 STREET  VIKING, AB  T0B 4N0  ",79,view,  780-336-4846
2595,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. FRANCIS DAYCARE VIKING,"5119 50 STREET  VIKING, AB  T0B 4N0  ",79,view,  780-336-4846
2596,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. FRANCIS XAVIER SCHOOL - OUT OF SCHOOL CARE PROGRAM,"318 8 STREET NE  MEDICINE HAT, AB  T1A 5R6  ",25,view,  403-527-7223
2597,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. GABRIEL BETHEL CHILDCARE,"585 SIGNAL ROAD  FORT MCMURRAY, AB  T9H 4V3  ",26,view,  780-880-6510
2598,DAY CARE (FACILITY-BASED PROGRAM),ST. GABRIEL BETHEL CHILDCARE,"585 SIGNAL ROAD  FORT MCMURRAY, AB  T9H 4V3  ",26,view,  780-880-6510
2599,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. JEROME OUT-OF-SCHOOL CARE,"3310 107 AVENUE  ST. JEROME SCHOOL  EDMONTON, AB  T5W 0C7  ",22,view,  780-479-7796
2600,PRE-SCHOOL (FACILITY-BASED PROGRAM),ST. JOSAPHAT'S UKRAINIAN PLAYSCHOOL,"8735 132 AVE  ST. MATTHEW SCHOOL  EDMONTON, AB  T5E 0X7  ",50,,  780-421-1769
2601,DAY CARE (FACILITY-BASED PROGRAM),ST. KATERI ASC,"980 WESTWINDS DRIVE  MORINVILLE, AB  T8R 2P8  ",24,view,  780-915-7505
2602,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. KATERI ASC,"980 WESTWINDS DRIVE  MORINVILLE, AB  T8R 2P8  ",24,view,  780-915-7505
2603,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. KATERI SCHOOL OUT OF SCHOOL CARE,"301 SPARROW HAWK DRIVE  FORT MCMURRAY, AB  T9K 1S5  ",27,view,  780-598-2603
2604,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. LOUIS SCHOOL,"861 4TH ST SE  MEDICINE HAT, AB  T1A 0L5  ",15,view,  403-527-7411
2605,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. LUKE'S OUT OF SCHOOL CARE,"22139 SOUTH COOKING LAKE ROAD  ST. LUKE CATHOLIC SCHOOL  SHERWOOD PARK, AB  T8E 1G9  ",25,view,  780-221-4614
2606,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. MARTHA OUT OF SCHOOL CARE,"102 PARSONS CREEK DRIVE  FORT MCMURRAY, AB  T9K 0B3  ",28,view,  780-799-5704
2607,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. MARTIN'S,"3911 57A AVENUE  RED DEER, AB  T4N 3Z5  ",42,view,  403-596-9785
2608,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. MARY OF THE LAKE PRESCHOOL & AFTER CARE PROGRAM,"409 6TH AVE  SLAVE LAKE, AB  T0G 2A4  ",36,view,  780-849-5244
2609,PRE-SCHOOL (FACILITY-BASED PROGRAM),ST. MARY OF THE LAKE PRESCHOOL & AFTER CARE PROGRAM,"409 6TH AVE  SLAVE LAKE, AB  T0G 2A4  ",36,view,  780-849-5244
2610,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. MICHAEL'S SCHOOL PROGRAMS,"865 BLACK BLVD. NW  MEDICINE HAT, AB  T1A 7B5  ",60,view,  403-527-7242
2611,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. PATRICK'S OUT OF SCHOOL CARE PROGRAM,"241 STRATTON WAY SE  MEDICINE HAT, AB  T1B 3Z2  ",115,view,  403-527-1177
2612,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. PAUL OUT OF SCHOOL CARE,"429 ROSS HAVEN DRIVE  FORT MCMURRAY, AB  T9H 3P3  ",30,view,  780-799-5767
2613,PRE-SCHOOL (FACILITY-BASED PROGRAM),ST. PAUL'S ANGLO-CHINESE PRE-SCHOOL,"202, 204 - 28 AVENUE NE  CALGARY, AB  T2E 2B1  ",24,view,  403-277-3888
2614,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. RICHARD OUT OF SCHOOL CARE,"5704 MILLWOODS ROAD SOUTH  ST RICHARD SCHOOL  EDMONTON, AB  T6L 3K9  ",49,view,  780-700-7666
2615,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. TERESA OF AVILA SCHOOL AGE PROGRAM,"190 GLENDALE BLVD  RED DEER, AB  T4P 2P7  ",42,view,  403-896-2055
2616,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ST. TIMOTHY'S DAYCARE,"14330 117 STREET  ST. TIMOTHY CATHOLIC SCHOOL  EDMONTON, AB  T5X 1S6  ",25,view,  780-990-6940
2617,DAY CARE (FACILITY-BASED PROGRAM),ST. TIMOTHY'S DAYCARE,"14330 117 STREET  ST. TIMOTHY CATHOLIC SCHOOL  EDMONTON, AB  T5X 1S6  ",25,view,  780-990-6940
2618,DAY CARE (FACILITY-BASED PROGRAM),ST. VLADIMIR'S SADOCHOK NURSERY SCHOOL,"404 MEREDITH ROAD NE  CALGARY, AB  T2E 5A6  ",25,view,  403-264-3437
2619,PRE-SCHOOL (FACILITY-BASED PROGRAM),STANDARD PLAYSCHOOL ASSOCIATION,"822 THE BROADWAY  STANDARD, AB  T0J 3G0  ",20,view,  403-644-3995
2620,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STAR BRIGHT DAY CARE & NURSERY LTD.,"4823 47 AVE  STONY PLAIN, AB  T7Z 1L7  ",83,view,  780-963-3020
2621,DAY CARE (FACILITY-BASED PROGRAM),STAR BRIGHT DAY CARE & NURSERY LTD.,"4823 47 AVE  STONY PLAIN, AB  T7Z 1L7  ",83,view,  780-963-3020
2622,DAY CARE (FACILITY-BASED PROGRAM),STAR LEARNERS DAYCARE & OSC CHAPPELLE,"3130 141 STREET SW  EDMONTON, AB  T6W 4B5  ",59,view,  780-469-0606
2623,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STAR LEARNERS DAYCARE & OSC CHAPPELLE,"3130 141 STREET SW  EDMONTON, AB  T6W 4B5  ",59,view,  780-469-0606
2624,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STAR LEARNERS DAYCARE & OSC GLENRIDDING,"202 - 2045 163 STREET SW  EDMONTON, AB  T6W 1A4  ",113,view,  780-999-6485
2625,DAY CARE (FACILITY-BASED PROGRAM),STAR LEARNERS DAYCARE & OSC GLENRIDDING,"202 - 2045 163 STREET SW  EDMONTON, AB  T6W 1A4  ",113,view,  780-999-6485
2626,DAY CARE (FACILITY-BASED PROGRAM),STARS CORNER DAYCARE & OSC,"154 9080 25 AVENUE SW  EDMONTON, AB  T6X 2H4  ",90,view,  587-920-6387
2627,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STARS CORNER DAYCARE & OSC,"154 9080 25 AVENUE SW  EDMONTON, AB  T6X 2H4  ",90,view,  587-920-6387
2628,PRE-SCHOOL (FACILITY-BASED PROGRAM),STARTING PLACE PRESCHOOL,"500-208 BEACONHILL DRIVE  FORT MCMURRAY, AB  T9H 2R1  ",27,view,  780-743-2966
2629,PRE-SCHOOL (FACILITY-BASED PROGRAM),STAVELY PLAYSCHOOL,"5031 - 48 AVE  STAVELY, AB  T0L 1Z0  ",22,view,  403-549-3761
2630,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEFFIE KIDZ CLUB,"ECOLE STEFFIE WOIMA SCHOOL  4720 - 45 AVE  SYLVAN LAKE, AB  T4S 1A5  ",50,view,  403-887-4044
2631,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONE ACADEMY DEVELOPMENT CENTER HAMPTON LTD.,"20138 LESSARD ROAD  EDMONTON, AB  T6M 0T9  ",67,view,  780-487-5777
2632,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONE CHILD DEVELOPMENT CENTER,"109 8761 84 STREET  FORT SASKATCHEWAN, AB  T8L 0M3  ",73,view,  780-668-8506
2633,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONE CHILD DEVELOPMENT CENTER,"109 8761 84 STREET  FORT SASKATCHEWAN, AB  T8L 0M3  ",73,view,  780-668-8506
2634,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONE LEARNING CENTRE,"202 6562 170 AVENUE NW  EDMONTON, AB  T5Y 3X6  ",153,view,  587-499-5999
2635,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONE LEARNING CENTRE,"202 6562 170 AVENUE NW  EDMONTON, AB  T5Y 3X6  ",153,view,  587-499-5999
2636,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONES ACADEMY CHILD DEVELOPMENT CENTRE,"12518 132 AVE  EDMONTON, AB  T5L 3P9  ",121,view,  780-488-9227
2637,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONES ACADEMY CHILD DEVELOPMENT CENTRE,"12518 132 AVE  EDMONTON, AB  T5L 3P9  ",121,view,  780-488-9227
2638,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONES DAY CARE - SCHOOL AGE PROGRAM,"7149 - 114 STREET  GRANDE PRAIRIE, AB  T8W 0G7  ",47,view,  780-532-7247
2639,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONES DAY CARE-WESTSIDE,"10807 101 STREET  GRANDE PRAIRIE, AB  T8V 2R6  ",83,view,  780-882-8679
2640,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONES DAYCARE,"5402 48 STREET  CONSORT, AB  T0C 1B0  ",28,view,  403-577-3585
2641,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONES DAYCARE,"5402 48 STREET  CONSORT, AB  T0C 1B0  ",28,view,  403-577-3585
2642,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONES DAYCARE - KIDS SQUAD,"9206 LAKELAND DRIVE  GRANDE PRAIRIE, AB  T8X 0J4  ",28,view,  780-532-9684
2643,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONES MONTESSORI,"2 MCVICAR STREET  RED DEER, AB  T4N 0M1  ",39,view,  587-306-8837
2644,DAY CARE (FACILITY-BASED PROGRAM),STEPPING STONES MONTESSORI STANTON,"12 STANTON STREET  RED DEER, AB  T4N 0B8  ",46,view,  587-306-8837
2645,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STEPPING STONES MONTESSORI STANTON,"12 STANTON STREET  RED DEER, AB  T4N 0B8  ",46,view,  587-306-8837
2646,PRE-SCHOOL (FACILITY-BASED PROGRAM),STEPPING STONES PRE-K,"9916 97TH STREET  WESTLOCK, AB  T7P 2G2  ",42,view,  780-349-3644
2647,PRE-SCHOOL (FACILITY-BASED PROGRAM),STETTLER LITTLE STEPS PRE KINDERGARTEN,"4704 55TH STREET  STETTLER, AB  T0C 2L2  ",18,view,  403-742-0280
2648,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STETTLER REGIONAL CHILD CARE CENTER,"5702 48 AVENUE  STETTLER, AB  T0C 2L1  ",113,view,  403-742-3590
2649,DAY CARE (FACILITY-BASED PROGRAM),STETTLER REGIONAL CHILD CARE CENTER,"5702 48 AVENUE  STETTLER, AB  T0C 2L1  ",113,view,  403-742-3590
2650,DAY CARE (FACILITY-BASED PROGRAM),STONY PLAIN CHILDCARE PLACE,"4919 47 AVE  STONY PLAIN, AB  T7Z 1L7  ",57,view,  780-918-1936
2651,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STONY PLAIN CHILDCARE PLACE,"4919 47 AVE  STONY PLAIN, AB  T7Z 1L7  ",57,view,  780-918-1936
2652,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STRATHCONA CHILD DEVELOPMENT CENTRE,"210/300 200 FESTIVAL LANE  SHERWOOD PARK, AB  T8A 5P7  ",218,view,  780-449-4941
2653,DAY CARE (FACILITY-BASED PROGRAM),STRATHCONA CHILD DEVELOPMENT CENTRE,"210/300 200 FESTIVAL LANE  SHERWOOD PARK, AB  T8A 5P7  ",218,view,  780-449-4941
2654,PRE-SCHOOL (FACILITY-BASED PROGRAM),STRATHCONA NURSERY SCHOOL,"8530 - 101 STREET  KING EDWARD SCHOOL  EDMONTON, AB  T6E 3Z5  ",20,view,  780-432-9226
2655,DAY CARE (FACILITY-BASED PROGRAM),STRATHCONA TENDER LOVING DAY CARE,"UNIT 102 9932 81 AVE  EDMONTON, AB  T6E 1W6  ",115,view,  780-756-0026
2656,PRE-SCHOOL (FACILITY-BASED PROGRAM),STRATHMORE & DISTRICT PLAYSCHOOL,"615 WESTCHESTER ROAD  STRATHMORE, AB  T1P 1B2  ",32,view,  403-901-1700
2657,PRE-SCHOOL (FACILITY-BASED PROGRAM),STRATHMORE LITTLE FLOWER PRE-KINDERGARTEN,"709A - 2ND STREET  STRATHMORE, AB  T1P 1B8  ",20,view,  403-901-1544
2658,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),STRAWBERRY STREET DAYCARE,"45 KIRKWOOD WAY  EDMONTON, AB  T6L 6G9  ",125,view,  780-461-3121
2659,DAY CARE (FACILITY-BASED PROGRAM),STRAWBERRY STREET DAYCARE,"45 KIRKWOOD WAY  EDMONTON, AB  T6L 6G9  ",125,view,  780-461-3121
2660,DAY CARE (FACILITY-BASED PROGRAM),STUDENTS' UNION AND COMMUNITY EARLY LEARNING CENTRE,"8917 112 STREET  EDMONTON, AB  T6G 2C5  ",64,view,  780-492-2245
2661,DAY CARE (FACILITY-BASED PROGRAM),SUCKER CREEK FIRST NATION DAYCARE,"UNIT 2009; BLK 2000 SE-18-74-14-5  ENILDA, AB  T0G 0W0  ",18,view,  780-523-2969
2662,DAY CARE (FACILITY-BASED PROGRAM),SUGAR PLUM TREE DAY CARE CENTRE,"7501, 99 STREET  PEACE RIVER, AB  T8S 1R4  ",126,view,  780-624-1479
2663,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUGAR PLUM TREE DAY CARE CENTRE,"7501, 99 STREET  PEACE RIVER, AB  T8S 1R4  ",126,view,  780-624-1479
2664,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMERSIDE CHILD CARE CENTER LTD.,"1109 SUMMERSIDE DRIVE  EDMONTON, AB  T6X 0H5  ",84,view,  780-490-4558
2665,DAY CARE (FACILITY-BASED PROGRAM),SUMMERSIDE CHILD CARE CENTER LTD.,"1109 SUMMERSIDE DRIVE  EDMONTON, AB  T6X 0H5  ",84,view,  780-490-4558
2666,DAY CARE (FACILITY-BASED PROGRAM),SUMMERTIME DAYCARE PROGRAM,"1319 91 STREET SW  EDMONTON, AB  T6X 1H1  ",91,view,  780-752-4811
2667,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMERTIME DAYCARE PROGRAM,"1319 91 STREET SW  EDMONTON, AB  T6X 1H1  ",91,view,  780-752-4811
2668,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - ALL BOYS,"3519 - 36 AVENUE SW  CALGARY, AB  T3E 1C2  ",40,view,  403-477-5437
2669,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - BLESSED MARIE-ROSE,"999 SHERWOOD BLVD NW  CALGARY, AB  T3R 1M9  ",80,view,  403-477-3424
2670,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - BONDAR,"1580 STRATHCONA DRIVE SW  CALGARY, AB  T3H 5B1  ",150,view,  403-477-5437
2671,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - DOYLE,"8887 SCURFIELD DRIVE NW  CALGARY, AB  T3L 1H6  ",55,view,  403-477-0490
2672,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - HOLY SPIRIT,"129 POWELL STREET  COCHRANE, AB  T4C 1Y2  ",65,view,  403-477-1219
2673,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - HUNTINGTON,"820 - 64 AVENUE NW  CALGARY, AB  T2K 0M5  ",51,view,  403-477-6006
2674,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - NELLIE,"2315 PALLISER DRIVE SW  CALGARY, AB  T2V 3S4  ",55,view,  403-477-1670
2675,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - RIDEAU,"829 RIDEAU ROAD SW  CALGARY, AB  T2S 0S2  ",52,view,  403-477-3095
2676,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - ST CECILIA,"610 AGATE CRESCENT SE  CALGARY, AB  T2J 0Z3  ",95,view,  403-477-1327
2677,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - ST JEROME,"11616 PANORAMA HILLS BLVD NW  CALGARY, AB  T3K 5S3  ",95,view,  403-477-0223
2678,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - ST. VINCENT,"4525 - 49 STREET NW  CALGARY, AB  T3A 0K4  ",55,view,  403-477-7638
2679,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - TERRACE ROAD,"2103 - 46 STREET NW  CALGARY, AB  T3B 1B3  ",75,view,  403-477-1510
2680,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - UES,"3035 UTAH DRIVE NW  CALGARY, AB  T2N 3Z9  ",150,view,  403-477-0770
2681,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - WHCA,"1940 - 6 AVENUE NW  CALGARY, AB  T2N 0W3  ",180,view,  403-477-0798
2682,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT KIDS - WOM,"511 SILVERGROVE DRIVE NW  CALGARY, AB  T3B 4R9  ",95,view,  403-477-7113
2683,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUMMIT START - CHESTERMERE,"201, 100 RAINBOW ROAD  CHESTERMERE, AB  T1X 0V2  ",115,view,  403-273-0662
2684,PRE-SCHOOL (FACILITY-BASED PROGRAM),SUMMIT START - CHESTERMERE,"201, 100 RAINBOW ROAD  CHESTERMERE, AB  T1X 0V2  ",115,view,  403-273-0662
2685,DAY CARE (FACILITY-BASED PROGRAM),SUMMIT START - CHESTERMERE,"201, 100 RAINBOW ROAD  CHESTERMERE, AB  T1X 0V2  ",115,view,  403-273-0662
2686,DAY CARE (FACILITY-BASED PROGRAM),SUMMIT START - RIVERVIEW,"150, 2915 - 26 AVENUE SE  CALGARY, AB  T2B 2W6  ",83,view,  403-477-6460
2687,DAY CARE (FACILITY-BASED PROGRAM),SUN PILLARS ACADEMY INC.,"133, 7171 - 80 AVENUE NE  CALGARY, AB  T3J 0P6  ",28,view,  403-455-5209
2688,PRE-SCHOOL (FACILITY-BASED PROGRAM),SUN PILLARS ACADEMY INC.,"133, 7171 - 80 AVENUE NE  CALGARY, AB  T3J 0P6  ",28,view,  403-455-5209
2689,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUN PILLARS ACADEMY INC.,"133, 7171 - 80 AVENUE NE  CALGARY, AB  T3J 0P6  ",28,view,  403-455-5209
2690,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNALTA STUDENT CARE,"536 SONORA AVENUE SW  CALGARY, AB  T3C 2J9  ",106,view,  403-245-4181
2691,DAY CARE (FACILITY-BASED PROGRAM),SUNDANCE DAY CARE,"226 MT. SUNDANCE CRESCENT WEST  LETHBRIDGE, AB  T1J 0T6  ",25,view,  403-942-4100
2692,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNDANCE DAY CARE,"226 MT. SUNDANCE CRESCENT WEST  LETHBRIDGE, AB  T1J 0T6  ",25,view,  403-942-4100
2693,DAY CARE (FACILITY-BASED PROGRAM),SUNDRE DAY CARE CENTRE,"#5 - 96 2ND AVENUE NW  SUNDRE, AB  T0M 1X0  ",89,view,  403-636-1088
2694,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNDRE DAY CARE CENTRE,"#5 - 96 2ND AVENUE NW  SUNDRE, AB  T0M 1X0  ",89,view,  403-636-1088
2695,PRE-SCHOOL (FACILITY-BASED PROGRAM),SUNDRE DAY CARE CENTRE,"#5 - 96 2ND AVENUE NW  SUNDRE, AB  T0M 1X0  ",89,view,  403-636-1088
2696,DAY CARE (FACILITY-BASED PROGRAM),SUNFLOWER OPERATING AS ST. GERARD DAY CARE,"12415 85 STREET  ST. GERARD SCHOOL  EDMONTON, AB  T5B 3H3  ",36,view,  780-802-7579
2697,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNFLOWER OPERATING AS ST. GERARD DAY CARE,"12415 85 STREET  ST. GERARD SCHOOL  EDMONTON, AB  T5B 3H3  ",36,view,  780-802-7579
2698,DAY CARE (FACILITY-BASED PROGRAM),SUNNY BUNNY DAYCARE,"14105 94 STREET  ST ANNE SCHOOL  EDMONTON, AB  T5E 6B2  ",141,view,  780-473-5548
2699,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNNY BUNNY DAYCARE,"14105 94 STREET  ST ANNE SCHOOL  EDMONTON, AB  T5E 6B2  ",141,view,  780-473-5548
2700,DAY CARE (FACILITY-BASED PROGRAM),SUNNY SOUTH DAY CARE CENTRE LTD.,"1238 - 3 AVENUE SOUTH  LETHBRIDGE, AB  T1J 0J9  ",64,view,  403-328-5057
2701,PRE-SCHOOL (FACILITY-BASED PROGRAM),SUNNY START PRESCHOOL,"63 LAKEWOOD VILLAGE  EDMONTON, AB  T6X 2B3  ",20,view,  780-461-2009
2702,DAY CARE (FACILITY-BASED PROGRAM),SUNNY VIEW CHILD DEVELOPMENT CENTRE,"1023 POTTER GREENS DRIVE  EDMONTON, AB  T5T 6A4  ",50,view,  780-484-9926
2703,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNNY VIEW CHILD DEVELOPMENT CENTRE,"1023 POTTER GREENS DRIVE  EDMONTON, AB  T5T 6A4  ",50,view,  780-484-9926
2704,DAY CARE (FACILITY-BASED PROGRAM),SUNNYSIDE DAYCARE AND OUT OF SCHOOL CARE,"6323 184 STREET NW  ORMSBY SCHOOL  EDMONTON, AB  T5T 3K1  ",134,view,  780-953-7393
2705,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNNYSIDE DAYCARE AND OUT OF SCHOOL CARE,"6323 184 STREET NW  ORMSBY SCHOOL  EDMONTON, AB  T5T 3K1  ",134,view,  780-953-7393
2706,PRE-SCHOOL (FACILITY-BASED PROGRAM),SUNNYSIDE PRE-KINDERGARTEN AND OUT OF SCHOOL CARE,"211 - 7 STREET NW  CALGARY, AB  T2N 1S2  ",60,view,  403-777-6390
2707,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNNYSIDE PRE-KINDERGARTEN AND OUT OF SCHOOL CARE,"211 - 7 STREET NW  CALGARY, AB  T2N 1S2  ",60,view,  403-777-6390
2708,DAY CARE (FACILITY-BASED PROGRAM),SUNRISE LEARNING DAY CARE,"13820 109A AVENUE NW  EDMONTON, AB  T5M 2K1  ",40,view,  780-447-2638
2709,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNRISE LEARNING OUT OF SCHOOL CARE,"10925 139 STREET  CORONATION ELEMENTARY SCHOOL  EDMONTON, AB  T5M 1P8  ",70,view,  780-454-1373
2710,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNRISE WETASKIWIN DAYCARE,"5604 - 48 AVENUE  WETASKIWIN, AB  T9A 0P2  ",209,view,  780-200-9289
2711,DAY CARE (FACILITY-BASED PROGRAM),SUNRISE WETASKIWIN DAYCARE,"5604 - 48 AVENUE  WETASKIWIN, AB  T9A 0P2  ",209,view,  780-200-9289
2712,DAY CARE (FACILITY-BASED PROGRAM),SUNSHINE ACADEMY DAY CARE,"4206 66 STREET  EDMONTON, AB  T6K 4A2  ",120,view,  780-395-0134
2713,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNSHINE ACADEMY DAY CARE,"4206 66 STREET  EDMONTON, AB  T6K 4A2  ",120,view,  780-395-0134
2714,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),SUNSHINE CHILD CARE CENTER,"3516/3528 137 AVENUE  EDMONTON, AB  T5Y 1Y7  ",79,view,  780-478-7115
2715,DAY CARE (FACILITY-BASED PROGRAM),SUNSHINE CHILD CARE CENTER,"3516/3528 137 AVENUE  EDMONTON, AB  T5Y 1Y7  ",79,view,  780-478-7115
